Email,Actual Output,Predicted Output of Model 1,Predicted Output of Model 2,Predicted Output of Model 3
make beg give everynight please partner much better take half year like solutions trust trust new york times newsweek time magazine testemonials many people net look anything else check site see facts new safe advanced penile enlargement solution guaranteed enlarge penis inches magna rx patch click amazing new magna rx patch available stores websites accept imitations order male enhancement patch exclusive website offer get month supply free one small investment last lifetime pills capsules lotions cremes pumps weights exercises prescription necessary doctor designed endorsed safe natural stamina energy increase penis size penis thicker fuller confidence self esteem soar experience rock hard erections increase desire explosive intense orgasms satisfy lover like never free male help e book orders free month supply magna rx patch fast discrete shipping click information rather use pills instead patch results check emails,0,Safe,Phishing,Safe
url newsisfree com click date img newsisfree com images fark cbc ca gif cbc,1,Phishing,Phishing,Safe
begin forwarded text date wed sep digital bearer settlement list r hettinga subject california needs intelligent energy deregulation sender siliconvalley com mld siliconvalley htm template contentmodules printstory jspposted tue sep dan gillmor state needs intelligent energy deregulationby dan gillmor mercury news technology columnistthe facts trade government secrets time energy industry failed smell test tried justify soaring wholesale electricity natural gas prices california investigators regulators unravel reasons financial fiscal mess cleaning decades learning everyone suspected market games helped engineer price spikes latest manipulation highlighted monday finding federal administrative law judge said dominant natural gas company squeezed supplies order squeeze customers ruling came days california public utilities commission reported electricity generators mysteriously failed use available capacity crunch also driving prices forget sleazy games energy traders gleefully worked system schemes best summed enron insider boast memorandum made public may enron gets paid moving energy relieve congestion without actually moving energy relieving congestion much illegal opposed simply amoral remains seen unfortunately california response confusion lawsuits policy tweaks sufficient unfortunately even state suddenly right things including hard nosed program designed free gougers grips would need willing federal partner foolish think bush administration would much help one least favorite states anything conflicts love traditional non renewable energy sources lawsuits various energy companies traders bear fruit best expect pay massive debts state amassed prevent total collapse early reasonable approach expect miracles state policies moving wrong way utility regulation meanwhile instead relentlessly pursuing smart deregulation still good idea gives customers genuine choices state laws regulations put utilities back business buying energy captive customers notes v john white executive director sacramento based center energy efficiency renewable technologies www ceert org tempting call outright state takeover utilities tempting bad idea genuine competition could achieve electricity generation private sector tends better job instead abandoning deregulation california find way inject real competition market need recognize current system delivering electricity defies privatization least current conditions smart regulation essential best response gouging use less gougers control two ways conservation replacement need best recent step new state law slowly surely ratchets use electricity renewables california utilities get percent power solar renewable sources several power companies expected even sooner law element old line thinking captive customer model need getting away sustaining lip service newer ideas enough state removing barriers micro generation systems small generators run variety fuels provide decentralized harder disrupt electricity homes businesses technology coming along fast state policies keeping pace investing save energy increasingly smartest move california encourage whether tax incentives outright grants low income households california done badly conservation general sense energy customers react last year soaring rates blackouts cutting back lunacy wait next crisis something avoid altogether maybe pointless bush administration energy policies grossly tilted toward unholy trinity oil coal nuclear making us vulnerable never mind might happen coming war iraq goes badly pointless hope sane federal policy crash program drastically speed inevitable transition hydrogen based energy system largest state one world major economies right clout hit rip artists hurts protect even serious disruptions maybe next year r hettinga internet bearer underwriting corporation farquhar street boston usa however may deserve respect usefulness antiquity predicting end world found agreeable experience edward gibbon decline fall roman empire end forwarded text r hettinga internet bearer underwriting corporation farquhar street boston usa however may deserve respect usefulness antiquity predicting end world found agreeable experience edward gibbon decline fall roman empire,1,Phishing,Safe,Safe
fyi wellhead portfolio considered greg sharp orig team deals wellhead portfolio need move double checking dave forwarded david baumbach hou ect enron north america corp brenda f herod david baumbach hou ect ect cc subject fyi wellhead portfolio great keep mind people continue confuse wellhead portfolio deals done producer services wellhead portfolio truly wellhead deals deals done greg sharp origination teams competitive points make sense enron capital management david baumbach brenda f herod hou ect ect cc subject fyi wellhead portfolio worked tom acton last night get wellhead portfolio cleaned tom sheet vance used determine deals portfolio believe portfolio correct sitara team move deals identified today dave,1,Phishing,Phishing,Phishing
rmmla ads papers solicited rmmla conference conjoint meeting american dialect society session chair simonie hodges georgetown university farmcrest dr herndon va usa session showcases papers various aspects american dialects examples previous paper topics include dialects utah use formal informal pronouns spanish speaking cities jamaican english historical plays sweet carbonated beverage isoglosses u hope propose paper rmmla rocky mountain modern language association conference salt lake city please address proposal chair appropriate session proposals based word abstract due session chair later february proposals must sent paper disk preferably ibm compatible format would like disk returned please enclose stamped self addressed envelope notified chair decision march complete versions accepted papers due chair august paper disk copy visit rmmla website rmmla wsu edu rmmla callforpapers call asp details topics conference guidelines papers presenters rmmla conference would appreciate following rmmla rules regarding papers presented conference rmmla organization members must member good standing present paper membership must current april name appear program may read papers one session courteous notify chair submit one session two papers accepted please decide give notify chairs well rmmla secretariat discover duplication able reach choose members propose papers expected attend convention read scheduled time two members institution may appear panel one name may appear program twice e chair presenter appearance secretary considered please notify chair rmmla secretariat immediately find unable present policy rmmla papers read absentia nb rmmla due dates represent dates receipt please allow adequate time mailing overseas distant addresses proposals papers convention due chairs later february chairs must program copy sessions hands executive director march timeline critical setting finalizing program thank advance cooperation,1,Phishing,Safe,Safe
testing ir fx var nick winston understand ir fx var numbers calculated every day risktrac results overwritten everyday database table official numbers calculated old version code consistent testing need historical results ir fx sub portfolio store numbers every day tanya,1,Phishing,Safe,Safe
academic discipline software engineering launched conference sponsored nato garmisch germany october intriguingly term software engineering chosen deliberately provocative software developed rigor used engineering disciplines proceedings conference available online cs ncl ac uk old people brian randell home formal nato index htmlalso miss pictures attendees including many significant contributors field software engineering cs ncl ac uk old people brian randell home formal nato n inde x html jim,1,Safe,Safe,Safe
queries language speakers syntax texts would like address issue speaks languages seems big problem linguists study structures various kinds language teachers study literature lucky pedagogy graduate schools offer theoretical orientation teaching literature students college language teachers come thus many college language teachers must teach without background resentment research different area entirely linguists teach languages teach structures speaking thus taking unusually taught language auspices linguistics department talk structure never learned speak talking language thrown many years ago way learn speak neither group unhappy literature teachers structure happy linguists likely improve image language learning country leslie morgan morgan loyvax,1,Phishing,Safe,Safe
resume john resume received today friend please take look follows copy message dear vincent much would like ask career advice looking new challenges new professional opportunities possibly would opportunity around enron corporation trust strongest asset intellectual capital ability look new angles complex issues beside experience working jacob goldfield paul jacobson goldman interest rate swaps proprietary desks part research effort john meriwether group salomon brothers headed european interest options desk dkbi london managed small hedge fund partnership albert friedberg hold ph mathematics mit studied nobel laureate economics bob merton much would like apply knowledge capital markets trading research field energy markets best regards personal wishes mark kierlanczyk godel partners llc wall street suite new york ny tel mkierlanczyk fmginy com,1,Phishing,Safe,Safe
effector vol november ren eff orga publication electronic frontier foundation issn th issue effector alert update urge representative co sponsor dmcra alert bait switch anticounterfeiting bill hurts rights canadian trademark law overreaching give twice many gifts holiday season deep links security technologies could backfire consumers administriviafor information eff activities alerts eff org join eff make additional donation eff org support eff member supported nonprofit please sign member today alert update urge representative co sponsor dmcra legislative season ends vitally important gather support legislation center stage next session opportunity ask representative take stand rights ask co sponsor dmcra today representatives rick boucher john doolittle recently introduced digital media consumers rights act dmcra h r would require labelling usage impaired copy protected compact discs would make several several amendments infamous digital millennium copyright act dmca take action http action eff org action index asp step item join eff membership information see eff org support end alert bait switch anticounterfeiting bill hurts rights fooled senator biden anticounterfeiting amendments also known biden bill started attempt stop organized crime forging holograms counterfeiting money scope greatly expanded include digital watermarks copyrighted material sneaky power grab would greatly diminish rights public copyrighted works expanding power copyright owners goes well beyond scope current copyright law could prevent universities libraries consumers enjoying exceptions copyright act adopted congress could prohibit use interface information essential software interoperability competition impose new responsibilities internet service providers could also require consumer electronics computer manufacturers reconfigure products impose severe criminal civil penalties permitted copyright act identical behaviorthis anticounterfeiting bill decoy stand rights today subscribe eff action center send member congress email letter fax take action going http action eff org action index asp step item join eff membership information see eff org support end canadian trademark law overreachingeff involved several cases involving overreaching trademark claims internet recently learned canadian lawsuit website www lawsnet com nonprofit legal information website focusing laws canada china seem especially egregious lawsnet com free legal information website published since last year lawsnet com owner ling xia sued quicklaw subsidiary global publishing giant lexisnexus group quicklaw claims lawsnet com violates rights name law net however law net public internet website domain name name appears subsidiary webpage quicklaw com website offers public teasers form summaries recent canadian cases full text available private proprietary paid quicklaw service canadian lawyers seems clear two names substantially different used different places one teaser closed computer service information freely available public internet causing consumer confusion even problematic quicklaw even canadian trademark term law net applied one repeatedly filed requests extensions time canadian trademark authorities contrast ms xia final stages canadian trademark issued lawsnet regardless weak case quicklaw managed drag ms xia year litigation recently succeeded securing court order requiring undergo extensive discovery process threatens drive although free legal assistance past next phase require significantly legal resources volunteer attorneys muster quicklaw represented large toronto firm borden ladner gervais llp abuse trademark law even official trademark even granted growing problem internet unfortunately becoming international problem eff urges quicklaw us based parent company stop beating free useful website trademark law important misuse mark causing consumer confusion grant ownership words especially descriptive words like laws net describing online legal information service trademark law also license large corporations sell legal information nonproprietary information stop individuals want use power internet provide free legal information public wish help ms xia directly local toronto lawyer part time law professor gil lan agreed act trustee legal defence fund established ms xia wish help please contact mr gil lan barrister solicitor university avenue suite toronto ontario g e email glan globalbusinesslaw comor ling xia editor lawsnet com end give twice many gifts holiday season eff signed shopsthatgive com portal site dozens online shops donates portion referral fees charity choice shop online websites available shopsthatgive including alibris buy com disney store ebay etoys half com lens express mcafee office depot palm petsmart rei rail europe verizon wireless part purchase donated back eff main shopsthatgive page simply select eff designated cause select merchant category set cost anything extra would help us lot please keep giving opportunity mind especially throughout upcoming holiday season links shopsthatgive shopsthatgive com complete list participating merchants shopsthatgive com category aspxbuy eff related books amazon barnes noble eff org promo books html end deep links deep links features noteworthy news items victories threats around internet security technologies could backfire consumers robert lemos news com balanced piece trusted computing http news com com html tag fd lede hed barbie kinky rival wins first court battle mattel loses first round intellectual property battle doll barbie head thescotsman co uk international cfm id unspooled digital age quaint cassette sent reeling history dustbin washingtonpost com wp dyn articles oct html meaning importance teach act american library association latest amendment us copyright law ala org washoff teach html end administriviaeffector published electronic frontier foundation shotwell street san francisco ca usa voice fax eff org editor ren bucholz activist ren eff orgto join eff online make additional donation go eff org support membership donation queries membership eff org general eff legal policy online resources queries ask eff orgreproduction publication electronic media encouraged signed articles necessarily represent views eff reproduce signed articles individually please contact authors express permission press releases eff announcements articles may reproduced individually change address please visit http action eff org subscribe update information already subscribed eff action center please visit http action eff org action login asp unsubscribe effector mailing list send email alerts action eff org word remove subject please ask ren eff org manually remove list work reason back issues available eff org effector received message legit lists eff jmason org member mailing list originating alerts action eff org unsubscribe mailing lists originating alerts action eff org send email legit lists eff jmason org alerts action eff org remove text subject line,1,Phishing,Safe,Safe
meeting feb dear mr nur azmin abu bakar thanks prompt reply please let us know many members team visit enron look forward meeting february vince kaminski azminab petronas com pm vince j kaminski enron com khairuddinbmjaafar petronas com shirley crenshaw enron com cc subject meeting feb dear kaminski happy new year thank reply honored lunch team however another appointment p regards vince j kaminski enron com azminab petronas com cc vince j kaminski enron com shirley crenshaw enron com subject meeting feb dear sir would like apologize delay responding fax vacation last days shall honored meet delegation thursday february please let know free lunch meeting vince kaminski,1,Phishing,Safe,Phishing
formal invite chase secrets revealed porn stars perform stay strong hard even cumming grow upto inches answer turn notifications ub international exports ltd st jan belize city belize,0,Safe,Phishing,Safe
question want different job want boss need extra income need start new life current job seem go nowhere answered yes questions solution fortune company looking motivated individuals looking substantial income working home thousands individual currently right looking employed home career provide vast opportunities substantial income please fill online information request form http ter netblah com miss opportunity click herehttp ter netblah com remove html,0,Safe,Phishing,Safe
url livejournal com talkread bml journal jwz itemid date supplied livejournal com talkread bml journal jwz itemid,1,Phishing,Phishing,Phishing
calpine daily monthly nomination ricky archer fuel supply louisiana suite houston texas direct fax calpine daily gas nomination doc calpine monthly gas nomination doc,1,Phishing,Phishing,Phishing
fw bod agenda deadlines next bod committee meetings held april may rebecca carter set deadline commercial groups submit agenda items office rick buy wednesday april forward notification memo sent commercial teams distributed please contact soon possible know anything possibility added finance committee agenda presentations approved rebecca carter fully executed dashes legal resolutions turned us friday april mailout date final cutoff tuesday april,1,Phishing,Safe,Safe
start date hourahead hour start date hourahead hour ancillary schedules awarded variances detected log messages parsing file portland westdesk california scheduling iso final schedules txt cannot locate preferred revised preferred schedule matches final individual interchange schedule unable assign deal number,1,Phishing,Safe,Safe
tetco hpl enerfin meter step completed sherlyn verify step tomorrow call completed jackie verify nom oct appears still volume meter oct questions issues contact contact person clem friday hc forwarded howard b camp hou ect pm romeo souza pm clem cernosek hou ect ect cc michael eiben hou ect ect howard b camp hou ect ect subject tetco hpl enerfin meter clem completed setting confirm reallocated days zero however still non zero bav get set since allocation allocate days till gas date r clem cernosek pm donna consemiu hou ect ect romeo souza hou ect ect sherlyn schumack hou ect ect jackie young hou ect ect cc michael eiben hou ect ect rita wynne hou ect ect pat clynes corp enron enron daren j farmer hou ect ect gary hanks hou ect ect victor lamadrid hou ect ect howard b camp hou ect ect subject tetco hpl enerfin meter step romeo please step today please change confirmed noms zero contracts nominated period thru meter change allocation method allocatable effective please reallocate meter period thru call tasks completed step ii sherlyn please check following tommorrow verify settlements zero bav adjustment received contract activities meter period thru verification complete please call step iii donna call tomorrow inform make following changes change meter drn facility facility trade nom yes change meter drn facility facility trade nom completion please call well romeo x step iv romeo upon receiving call donna please make appropriate changes corrections pops system facility changes made global facilities dept understanding changes done automatically upon completion please call step v jackie tomorrow informed romeo made changes let know may begin scheduling meter meter replacing completion please let know gary could create problems gas control confirmed volumes zeroed including october activities meter today correct within thru hours meter daren could also create issues remember issues clear within hours victor information since create changes anyone questions please feel free call x thanks clem,1,Phishing,Safe,Phishing
promote product service millions today e mail marketing bulk e mail make money fast head spin customers tell us would longer business without new collection software allows collect targeted e mail addresses free see product web page click million american business leads cd telemarketing mailing faxing list gold mine contains company name address phone fax sic employees revenue list allows unlimited downloads see product web page click fax marketing system fax broadcasting hot new way market product service people times likely read faxes direct mail software turns computer fax blaster million leads disk see product web page click visit web site call information taken list click,0,Safe,Safe,Safe
culture committee subcommittee meeting management team follow meeting culture committee set monday may eb lunch provided please respond confirming attendance also conference room equipped video capabilities please advise require function thank ricki winters,1,Phishing,Safe,Safe
sle call papers sle st andrews scotland august workshop modality generative grammar description analysis modality central interest study human language modality interacts many subsystems syntax better understanding modality would understanding subsystems greatly relevant subsystems play role existing analyses epistemic deontic dichotomy attributed argument structure e g ross epistemic modals one place predicates corresponding raising verbs syntactically whereas deontic modals two place predicates corresponding control verbs syntactically ii insertion position epistemic modals generated deontic modals v e g picallo iii lf position epistemic modals c deontic modals vp e g mcdowell iv nature complement modal definite verbal complement epistemic modals indefinite verbal complement deontic modals e g barbiers v pragmatics dichotomy contextually determined correspond syntactic difference kratzer many questions still need answered sufficiently adequate analysis developed argument structure asked evidence modal two different argument structures evidence exists argument structures represented lexicon theta theoretic accounts syntactically related questions concern categorial status modals special category aux english main verbs german dutch selectional restrictions impose complement semantically uniform syntactically verbal complements english categorial restrictions dutch verbal certain prepositional complements german afrikaans syntactic position surface structure lf need know scopal interaction modals negation clear tight connection modality negation affirmation many languages modal behaves negative polarity item english need german brauchen dutch hoeven related issue interaction modals focus particles especially negative affirmative import english french bien seems focus particles alter syntactic semantic behaviour modals scopal interaction modals quantifiers modals question operators also need better description analysis claimed question formation epistemic modality exclude although seem hold general question formation epistemic modality seem restrict ways poorly understood interaction modal verbs modal adverbials also relevant determination syntactic position modals particulary view cinque hypothesis every sentence contains two modal projections must either filled modal adverbial specifier modal verb head many languages construction involves modal interpretation constructions generally epistemic interpretation consider english never see dutch het te verwachten dat expected great many cross linguistic peculiarities point worth exploring example one question type construction lacking visible modal element yields modal interpretation general question concerning modality properties modals necessary modality accidental cross linguistically modals often irregular present tense inflection paradigm unclear whether necessary property modals fact english modals auxilaries modals languages presumably accidental property fact english modals lack infinitives participles paradigm whereas dutch modals infinitival participial forms except verb zullen seems bulk generative studies modality involves germanic languages particularly invite papers modality romance central european languages organizers sjef barbiers leiden frits beukema leiden olga tomic novi sad milena milojevic sheppard ljubljana marija golden ljubljana please submit abstract max professor olga miseska tomic bulevar avnoja iii stan beograd yu yugoslavija e mail efilb yubgss bg ac yu dr sjef barbiers hil department dutch studies p n van eyckhof leiden nl ra netherlands e mail barbiers rullet leidenuniv nl dr frits beukema hil department english p n van eyckhof leiden nl ra netherlands e mail beukema rullet leidenuniv nl closing date submission abstract may date acceptance rejection abstract july,1,Phishing,Safe,Safe
lowers blood pressure cholesterol let face age nothing number okay want hold young body long increasing longevity increasing segment population frontier new millennium dr virgil howard view new lifespan enhancement press ship right door sorry twenty trials compared lactam cause fatality significant objective outcome reduced addition aminoglycosides clinical bacteriological failure may prone bias nonblinded trials much lesser relevance patients significantly different wind first sent spinning away south continued rise air currents storm raged far beneath,0,Safe,Phishing,Safe
release agfl home page message announces release world wide web home page agfl affix grammars finite lattice agfl agfl formalism developed university nijmegen netherlands formalism context free grammars described compactly agfls two level grammars first context free level augmented features expressing agreement parts speech features treated types values may range subsets given finite set explains acronym affix grammars finite lattice agfl grammars transformed parser parser generator opt generated parser recursive backup parser computes values affixes fly way fast efficient parsers generated formalism quite simple limited therefore easy read write agfl comes grammar workbench gwb supporting development grammars checking consistency agfl formalism require special hardware parser generator opt runs regular sparc systems ms dos machines higher relatively small instance ms dos version requires less mb harddisk space agfl web agfl made available computational linguistic community think used computational linguists need simple grammar formalism fast parser generator suitable experimental purposes therefore made agfl available via ftp recently via www agfl home page contains information agfl formalism like agfl manual documentation papers sample grammars latest developments also possibility download software register agfl user invited take look home page read information download software please feel free make use agfl home page look forward hear experiences currently planning agfl workshop june latest news workshop also found agfl home page url agfl home page http www cs kun nl agfl address ftp site ftp hades cs kun nl pub agfl organisation www page self explanatory structure ftp site follows readme doc directory contains number relevant papers pc directory contains software ms dos machines installation guide sun directory contains software sparc stations installation guide questions remarks respect agfl agfl home page sent www agfl cs kun nl behalf agfl team erik oltmans department computer science university nijmegen netherlands,1,Safe,Safe,Safe
mobil beaumont marol want confirm march midcon volumes mobil total mmbtu saw pops please let know different volumes days thanks help rebecca forwarded rebecca griffin na enron lee l papayoti ect pm rebecca griffin na enron enron cc daren j farmer hou ect ect subject mobil beaumont marol rebecca mobil march beginning march hpl started delivering midcon like dec jan maybe feb check daren farmer get ready flash invoice first confirm midcon volume amounts dates thanks lee,1,Phishing,Phishing,Phishing
function mm findobj n v var p x document p n indexof parent frames length parent frames n substring p document n n substring p x n x n x forms length x forms n x layers layers length x mm findobj n layers document return x function mm swapimage v var j x mm swapimage arguments document mm sr new array length x mm findobj null document mm sr j x x osrc x osrc x src x src function mm swapimgrestore v var x document mm sr length x x osrc x src x osrc function mm preloadimages v var document images mm p mm p new array var j mm p length mm preloadimages arguments length indexof mm p j new image mm p j src unsubscribe simply reply email remove subject line,0,Safe,Safe,Safe
presentation metals forwarded leann walton na enron alison sealy mraymon enron com cc subject presentation metals hi maureen good meet last week hear presentation metals full advice think various things affect market place sorry dash airport good job left though check took ages anyway please could send copy presentation either email located network somewhere could access intranet joining lme conference tomorrow currently trying bit reading preparation thanks much advance look forward seeing presentation london kind regards alison,1,Phishing,Safe,Phishing
premium adult content looking high quality adult content right price check xxx scarlett image cd video clip cd hardcore softcore asian hardcore transsexual hardcore english roses yrs extreme euro hardcore gay amateur check quality amazing prices new content coming every month easily see xxx scarlett number one adult content provider thank time scarlett,0,Safe,Phishing,Safe
thanks brent clearer needed used global sort j c lawrence scan still vulnerability instance exmh running folder visiting new correct xmhcache overwritten incorrect one switch folders cron sort scan process kill running exmh first best would button global sort update scan caches exmh menu rick brent brent welch wrote following tue sep brent update scan caches menu entry rescans brent folders similar short scripts folks shared around brent runs background exmh users mailing list exmh users redhat com https listman redhat com mailman listinfo exmh users,1,Phishing,Safe,Safe
words opposites several people submitted overlook oversight fine examples phenomenon english though think mary neff outgoing retiring perhaps elegant submission date perhaps current work various shades meaning english prepositions biased case think difference various senses oversight overlook stems largely compounding sneaky first glance seems fairly limited expressive power deeper analysis reveals lurk number distinctions meaning quite subtle indeed addition nuances physical location indicate power relationships outright force subtle authority value judgements general notion metaphorically moving another thing get skip analysis oversight overlook would one sense takes meaning authority sense takes meaning skipping perhaps similar argument could make sight see look part compound instance useages see look interest seem carry authority meaning think analysis clear cut would interesting see someone make case half marion kee marion kee opinions knowledge engineer center machine translation cmu wants opinions carnegie mellon university pittsburgh pa usa pays,1,Phishing,Safe,Safe
